"ID","Track","Year","Title_or_Project","Venue_or_Status","Core_Contribution","Evidence","Code_and_License","Grid_Relevance","Primary_URL"
"1","L2O","2010","Learning Fast Approximations of Sparse Coding (LISTA)","ICML 2010","Unrolls ISTA into a trainable fixed-depth network","A","Multiple reproductions; no single canonical modern package","Medium: template for learned iterative solvers","https://icml.cc/2010/papers/449.pdf"
"2","Neural CO","2015","Pointer Networks","NeurIPS 2015","Variable-length pointer output for permutations and combinatorial structures","A+","Legacy implementations","Low/Medium: foundational representation","https://arxiv.org/abs/1506.03134"
"3","L2O","2016","Learning to Learn by Gradient Descent by Gradient Descent","NeurIPS 2016","LSTM learned update rule","A","Legacy research code","Low for mathematical programming; foundational for meta-optimization","https://arxiv.org/abs/1606.04474"
"4","Neural CO","2016","Neural Combinatorial Optimization with Reinforcement Learning","ICLR 2017","RL-trained constructive policy for TSP and related problems","A","Legacy TensorFlow implementations","Low/Medium: conceptual basis for dispatch policies","https://arxiv.org/abs/1611.09940"
"5","Learning-enhanced solver","2016","Learning to Branch in Mixed Integer Programming","AAAI 2016","Learning-to-rank approximation of strong branching using handcrafted features","A","No maintained official implementation located","High: baseline for SCUC branching","https://doi.org/10.1609/aaai.v30i1.10080"
"6","Differentiable optimization","2017","OptNet: Differentiable Optimization as a Layer","ICML 2017","QP layer differentiated through KKT conditions","A+","qpth; open research code","High for differentiable ED/DCOPF/QP","https://proceedings.mlr.press/v70/amos17a.html"
"7","Decision-focused learning","2017","Task-based End-to-end Model Learning in Stochastic Optimization","NeurIPS 2017","Trains predictors through downstream stochastic optimization; includes energy use cases","A","Research code","Very high: scheduling and storage precedent","https://proceedings.neurips.cc/paper/2017/hash/3fc2c60b5782f641f76bcefc39fb2392-Abstract.html"
"8","Neural CO","2017","Learning Combinatorial Optimization Algorithms over Graphs","NeurIPS 2017","Structure2Vec plus DQN learns greedy graph heuristics","A+","graph_comb_opt; public code","Medium: topology-aware policy foundation","https://arxiv.org/abs/1704.01665"
"9","Neural CO","2018","Reinforcement Learning for Solving the Vehicle Routing Problem","NeurIPS 2018","End-to-end RL for dynamic routing inputs","A","Public reproductions","Low for grid; high historical impact","https://papers.nips.cc/paper/8190-reinforcement-learning-for-solving-the-vehicle-routing-problem"
"10","Neural CO","2019","Attention, Learn to Solve Routing Problems","ICLR 2019","Transformer-style attention model with rollout baseline","A+","attention-learn-to-route; MIT-style public research repo","Low/Medium: reusable neural search ideas","https://arxiv.org/abs/1803.08475"
"11","Learning-enhanced solver","2019","Exact Combinatorial Optimization with Graph Convolutional Neural Networks","NeurIPS 2019","MILP variable-constraint bipartite GNN for branching","A+","learn2branch; public code","Very high: generic MILP/SCUC representation","https://proceedings.neurips.cc/paper/2019/hash/d14c2267d848abeb81fd590f371d39bd-Abstract.html"
"12","Decision-focused learning","2019","Melding the Data-Decisions Pipeline","AAAI 2019","Decision-focused learning for combinatorial decisions","A","Research code","High: prediction-to-dispatch objective alignment","https://doi.org/10.1609/aaai.v33i01.33011658"
"13","Differentiable optimization","2019","Differentiable Convex Optimization Layers","NeurIPS 2019","Disciplined parametrized programming and CVXPYlayers","A+","cvxpylayers; Apache-2.0","Very high for convex grid layers","https://proceedings.neurips.cc/paper/2019/hash/9ce3c52fc54362e22053399d3181c638-Abstract.html"
"14","Differentiable optimization","2019","SATNet","ICML 2019","Differentiable SDP/MAXSAT layer","A+","SATNet; public code","Low/Medium: discrete constraint layer concepts","https://proceedings.mlr.press/v97/wang19e.html"
